,ds,y,src
1826,1941-01-01,0.13,training
1037,1941-02-01,0.23,training
561,1941-03-01,0.06,training
1009,1941-04-01,0.11,training
863,1941-05-01,0.1,training
570,1941-06-01,0.04,training
155,1941-07-01,0.15,training
476,1941-08-01,0.14,training
1920,1941-09-01,0.02,training
751,1941-10-01,0.24,training
1730,1941-11-01,0.12,training
875,1941-12-01,0.14,training
1376,1942-01-01,0.26,training
2046,1942-02-01,0.05,training
2207,1942-03-01,0.13,training
468,1942-04-01,0.14,training
1576,1942-05-01,0.14,training
2734,1942-06-01,0.11,training
2033,1942-07-01,0.02,training
1661,1942-08-01,-0.03,training
3214,1942-09-01,0.0,training
3000,1942-10-01,0.06,training
391,1942-11-01,0.13,training
880,1942-12-01,0.12,training
2140,1943-01-01,-0.01,training
1781,1943-02-01,0.22,training
1455,1943-03-01,0.01,training
2946,1943-04-01,0.13,training
647,1943-05-01,0.1,training
3029,1943-06-01,-0.01,training
2785,1943-07-01,0.14,training
357,1943-08-01,0.03,training
2248,1943-09-01,0.11,training
3061,1943-10-01,0.30000000000000004,training
2103,1943-11-01,0.25,training
2612,1943-12-01,0.28,training
2217,1944-01-01,0.41,training
1793,1944-02-01,0.31,training
2302,1944-03-01,0.34,training
2864,1944-04-01,0.27,training
951,1944-05-01,0.26,training
2638,1944-06-01,0.22,training
154,1944-07-01,0.23,training
2322,1944-08-01,0.23,training
1399,1944-09-01,0.31,training
950,1944-10-01,0.27,training
949,1944-11-01,0.12,training
2650,1944-12-01,0.05,training
2527,1945-01-01,0.13,training
2407,1945-02-01,0.02,training
2666,1945-03-01,0.11,training
2965,1945-04-01,0.24,training
3238,1945-05-01,0.1,training
1640,1945-06-01,0.02,training
2007,1945-07-01,0.07,training
582,1945-08-01,0.25,training
1467,1945-09-01,0.22,training
553,1945-10-01,0.22,training
2656,1945-11-01,0.1,training
299,1945-12-01,-0.1,training
2562,1946-01-01,0.15,training
1247,1946-02-01,0.06,training
1147,1946-03-01,0.0,training
803,1946-04-01,0.11,training
2526,1946-05-01,-0.04,training
124,1946-06-01,-0.17,training
1995,1946-07-01,-0.09,training
2077,1946-08-01,-0.08,training
1821,1946-09-01,-0.02,training
62,1946-10-01,-0.06,training
767,1946-11-01,-0.02,training
3185,1946-12-01,-0.29,training
2272,1947-01-01,-0.13,training
